<肖申克的救赎>
乔治·马丁 George Martin,演员 Actor (饰 接待员 Receptionist),这个杀手不太冷,死亡诗社,开罗紫玫瑰
罗伯特·拉萨多 Robert LaSardo,演员 Actor (饰 顾客 Client #1),这个杀手不太冷,骡子,死亡飞车
亚当·布斯奇 Adam Busch,演员 Actor (饰 马诺罗 Manolo),这个杀手不太冷,副本 第一季,豪斯医生  第二季
马里奥·托迪斯科 Mario Todisco,演员 Actor (饰 托尼的理发师 Tony&#39;s Barber),这个杀手不太冷,小鬼当家2,捉鬼敢死队
萨米·纳塞利 Samy Naceri,演员 Actor (饰 扑打 Swat 1),这个杀手不太冷,的士速递,的士速递2
让·雨果·安格拉德 Jean-Hugues Anglade,演员 Actor (饰 卡米奥 Cameo),这个杀手不太冷,巴黎野玫瑰,玛戈王后
埃莱娜·卡多纳 Hélène Cardona,演员 Actress (饰 学生 Student),这个杀手不太冷,蜘蛛侠：英雄远征,幸福终点站
沈晓谦 Xiaoqian Shen,配音 Voice,这个杀手不太冷,美丽人生,闻香识女人
大塚明夫 Akio Ôtsuka,配音 Voice,这个杀手不太冷,哈尔的移动城堡,红辣椒
Keith A. Glascoe Keith A. Glascoe,演员 Actor (饰 Benny),这个杀手不太冷,多蒂被打屁股,百厦街
 Arsène Jiroyan,演员 Actor,这个杀手不太冷,猎物,法外之徒 第二季
</这个杀手不太冷>
<千与千寻>
柊瑠美 Rumi Hiiragi,配音 Voice (配 荻野千寻 Chihiro Ogino / Sen),千与千寻,崖上的波妞,盗钥匙的方法
入野自由 Miyu Irino,配音 Voice (配 白龙 ハク Haku),千与千寻,言叶之庭,声之形
夏木真理 Mari Natsuki,配音 Voice (配 汤婆婆 / 钱婆婆 Yubaba / Zeniba),千与千寻,犬之岛,银魂
菅原文太 Bunta Sugawara,配音 Voice (配 锅炉爷爷 釜爺 Kamajî),千与千寻,狼的孩子雨和雪,绅士刑警
中村彰男 Akio Nakamura,配音 Voice (配 无脸男 カオナシ Kaonashi),千与千寻,交响诗篇,交响诗篇Eureka Seven彩虹满载
玉井夕海 Yumi Tamai,配音 Voice (配 小玲 リン Rin),千与千寻,伏：铁炮娘的捕物帐,亡念的扎姆德
神木隆之介 Ryûnosuke Kamiki,配音 Voice (配 宝宝 坊 Bô),千与千寻,你的名字。,哈尔的移动城堡
内藤刚志 Takashi Naitô,配音 Voice (配 荻野明夫 お父さん Akio Ogino),千与千寻,战场上的快乐圣诞,虞美人盛开的山坡
泽口靖子 Yasuko Sawaguchi,配音 Voice (配 荻野悠子 お母さん Yûko Ogino),千与千寻,绅士刑警2,世界奇妙物语 10周年特别篇
我修院达也 Tatsuya Gashûin,配音 Voice (配 青蛙 Aogaeru),千与千寻,哈尔的移动城堡,花样男子
大泉洋 Yô Ôizumi,配音 Voice (配 番台蛙 Bandai-gaeru),千与千寻,哈尔的移动城堡,猫的报恩
小林郁夫 Koba Hayashi,配音 Voice (配 河の神 Kawa no Kami),千与千寻,东京夜曲,无比敌
上条恒彦 Tsunehiko Kamijô,配音 Voice (配 父役 Chichiyaku),千与千寻,幽灵公主,红猪
小野武彦 Takehiko Ono,配音 Voice (配 兄役 Aniyaku),千与千寻,朝5晚9：帅气和尚爱上我,盗钥匙的方法
田壮壮 Zhuangzhuang Tian,配音 Voice (配 锅炉爷爷),千与千寻,我和我的祖国,奇迹·笨小孩
王琳 Lin Wang,配音 Voice (配 汤婆婆 / 钱婆婆),千与千寻,你好，李焕英,色，戒
安田显 Ken Yasuda,配音 Voice (配 おしら様 Oshirasama),千与千寻,哈尔的移动城堡,垫底辣妹
户次重幸 Shigeyuki Totsugi,配音 Voice,千与千寻,哈尔的移动城堡,半泽直树2
胡立成 Licheng Hu,配音 Voice,千与千寻,大话西游之大圣娶亲,大话西游之月光宝盒
山像香 Kaori Yamagata,配音 Voice,千与千寻,夏日大作战,未来的未来
斋藤志郎 Shiro Saito,配音 Voice,千与千寻,崖上的波妞,航海王：红发歌姬
脇田茂 Shigeru Wakita,配音 Voice,千与千寻,崖上的波妞,十津川警部系列（5）会津高原殺人事件
彭昱畅 Yuchang Peng,配音 Voice (配 无脸男),千与千寻,我和我的祖国,蜘蛛侠：平行宇宙
井柏然 Boran Jing,配音 Voice (配 白龙),千与千寻,捉妖记,风中有朵雨做的云
